"","treeNumber","blocks","geo","pair","reps","origin","treeCondition","height","diameter"
"1",1,1,1,1,1,"Nat","",4.1,19
"2",2,1,1,1,2,"Nat","",4.1,22
"3",3,1,1,1,3,"Nat","",3.2,15
"4",4,1,1,1,4,"Nat","",5,24
"5",5,1,1,2,1,"Nat","",4,16
"6",6,1,1,2,2,"Nat","",3.5,14
"7",7,1,1,2,3,"Nat","",2.9,10
"8",8,1,1,2,4,"Nat","",4.3,19
"9",9,1,2,1,1,"Intro","",3.4,15
"10",10,1,2,1,2,"Intro","",2.6,12
"11",11,1,2,1,3,"Intro","",2.6,9
"12",12,1,2,1,4,"Intro","",4.2,20
"13",13,1,2,2,1,"Intro","",2.9,12
"14",14,1,2,2,2,"Intro","",3.5,19
"15",15,1,2,2,3,"Intro","",3,12
"16",16,1,2,2,4,"Intro","",2.6,10
"17",17,1,3,1,1,"Intro","",3.5,14
"19",19,1,3,1,3,"Intro","",3.2,13
"20",20,1,3,1,4,"Intro","",2.6,8
"21",21,1,3,2,1,"Intro","",2.7,22
"22",22,1,3,2,2,"Intro","",2.4,5
"23",23,1,3,2,3,"Intro","",2.7,9
"24",24,1,3,2,4,"Intro","",1.8,4
"25",25,1,4,1,1,"Intro","",2.7,7
"26",26,1,4,1,2,"Intro","",3,10
"27",27,1,4,1,3,"Intro","",2.6,5
"28",28,1,4,1,4,"Intro","",1.8,2
"29",29,1,4,2,1,"Intro","",2.1,5
"30",30,1,4,2,2,"Intro","",2,3
"32",32,1,4,2,4,"Intro","",2.2,5
"33",33,1,5,1,1,"Nat","",2.5,8
"34",34,1,5,1,2,"Nat","",3,10
"35",35,1,5,1,3,"Nat","",2.8,12
"36",36,1,5,1,4,"Nat","",2.9,11
"37",37,1,5,2,1,"Nat","",2.1,5
"38",38,1,5,2,2,"Nat","",2.1,5
"39",39,1,5,2,3,"Nat","",2.6,5
"40",40,1,5,2,4,"Nat","",2.8,9
"41",41,1,6,1,1,"Nat","",4.6,26
"42",42,1,6,1,2,"Nat","",4,21
"43",43,1,6,1,3,"Nat","",3.5,14
"44",44,1,6,1,4,"Nat","",4.2,24
"45",45,1,6,2,1,"Nat","",4.1,19
"46",46,1,6,2,2,"Nat","",3.3,15
"47",47,1,6,2,3,"Nat","",4.1,20
"48",48,1,6,2,4,"Nat","",4.5,22
"49",49,1,7,1,1,"Intro","",3.8,14
"50",50,1,7,1,2,"Intro","",4.8,25
"51",51,1,7,1,3,"Intro","",4.8,20
"52",52,1,7,1,4,"Intro","",4.8,28
"53",53,1,7,2,1,"Intro","",2.8,10
"54",54,1,7,2,2,"Intro","",3.3,15
"55",55,1,7,2,3,"Intro","",2.9,7
"56",56,1,7,2,4,"Intro","",2.9,9
"57",57,1,8,1,1,"Nat","",2.9,10
"58",58,1,8,1,2,"Nat","",1.2,1
"59",59,1,8,1,3,"Nat","",3.3,12
"60",60,1,8,1,4,"Nat","",2.7,8
"61",61,1,8,2,1,"Nat","",2.6,6
"62",62,1,8,2,2,"Nat","",1.8,3
"63",63,1,8,2,3,"Nat","",2.5,9
"64",64,1,8,2,4,"Nat","",2.4,6
"65",65,1,9,1,1,"Nat","",5,25
"66",66,1,9,1,2,"Nat","",2.5,25
"67",67,1,9,1,3,"Nat","",3.8,18
"68",68,1,9,1,4,"Nat","",3.5,14
"69",69,1,9,2,1,"Nat","",3,10
"70",70,1,9,2,2,"Nat","",4.2,20
"72",72,1,9,2,4,"Nat","",3,11
"73",73,1,10,1,1,"Intro","",3.5,11
"74",74,1,10,1,2,"Intro","",3.6,11
"76",76,1,10,1,4,"Intro","",1.8,2
"77",77,1,10,2,1,"Intro","",4.1,17
"78",78,1,10,2,2,"Intro","",4.7,21
"79",79,1,10,2,3,"Intro","",3.5,13
"80",80,1,10,2,4,"Intro","",4.4,23
"81",81,2,9,1,1,"Nat","",3.4,21
"82",82,2,9,1,2,"Nat","",5.4,31
"83",83,2,9,1,3,"Nat","",5.3,31
"84",84,2,9,1,4,"Nat","",5.3,31
"85",85,2,9,2,1,"Nat","",3.3,12
"86",86,2,9,2,2,"Nat","",3.3,155
"87",87,2,9,2,3,"Nat","",3,13
"89",89,2,10,1,1,"Intro","",4.6,25
"90",90,2,10,1,2,"Intro","",3.8,29
"91",91,2,10,1,3,"Intro","",4.3,21
"92",92,2,10,1,4,"Intro","",3.6,15
"93",93,2,10,2,1,"Intro","",2.4,11
"94",94,2,10,2,2,"Intro","",3.5,22
"95",95,2,10,2,3,"Intro","",2.7,26
"96",96,2,10,2,4,"Intro","",4.9,26
"97",97,2,3,1,1,"Intro","",5,12
"98",98,2,3,1,2,"Intro","",5.6,15
"99",99,2,3,1,3,"Intro","",5.5,17
"100",100,2,3,1,4,"Intro","",3.8,20
"101",101,2,3,2,1,"Intro","",4.2,29
"102",102,2,3,2,2,"Intro","",3.2,17
"103",103,2,3,2,3,"Intro","",4,20
"104",104,2,3,2,4,"Intro","",3,19
"106",106,2,4,1,2,"Intro","",3.3,16
"107",107,2,4,1,3,"Intro","",3.6,15
"108",108,2,4,1,4,"Intro","",3.8,19
"109",109,2,4,2,1,"Intro","",4.2,5
"111",111,2,4,2,3,"Intro","",2,11
"113",113,2,6,1,1,"Nat","",4.4,31
"114",114,2,6,1,2,"Nat","",5.3,35
"115",115,2,6,1,3,"Nat","",5.6,36
"116",116,2,6,1,4,"Nat","",5.1,31
"117",117,2,6,2,1,"Nat","",3.8,19
"118",118,2,6,2,2,"Nat","",4.1,17
"119",119,2,6,2,3,"Nat","",4.4,23
"120",120,2,6,2,4,"Nat","",4.4,21
"121",121,2,2,1,1,"Intro","",4.1,17
"122",122,2,2,1,2,"Intro","",3,14
"123",123,2,2,1,3,"Intro","",4.1,17
"124",124,2,2,1,4,"Intro","",4.7,27
"125",125,2,2,2,1,"Intro","",3.7,18
"126",126,2,2,2,2,"Intro","",3.8,19
"127",127,2,2,2,3,"Intro","",4.1,22
"128",128,2,2,2,4,"Intro","",3.3,15
"129",129,2,7,1,1,"Intro","",3,11
"131",131,2,7,1,3,"Intro","",2.4,7
"132",132,2,7,1,4,"Intro","",4.1,26
"133",133,2,7,2,1,"Intro","",4,21
"134",134,2,7,2,2,"Intro","",3.2,20
"135",135,2,7,2,3,"Intro","",4.6,35
"136",136,2,7,2,4,"Intro","",4.4,29
"138",138,2,1,1,2,"Nat","",3.4,32
"139",139,2,1,1,3,"Nat","",3,28
"140",140,2,1,1,4,"Nat","",3.2,26
"141",141,2,1,2,1,"Nat","",4,18
"142",142,2,1,2,2,"Nat","",3.7,16
"143",143,2,1,2,3,"Nat","",6.2,16
"144",144,2,1,2,4,"Nat","",3.5,20
"145",145,2,8,1,1,"Nat","",3,15
"146",146,2,8,1,2,"Nat","",3,12
"147",147,2,8,1,3,"Nat","",3.5,15
"148",148,2,8,1,4,"Nat","",3.5,15
"149",149,2,8,2,1,"Nat","",1.8,5
"150",150,2,8,2,2,"Nat","",2.9,8
"151",151,2,8,2,3,"Nat","",2.7,8
"152",152,2,8,2,4,"Nat","",2.4,15
"153",153,2,5,1,1,"Nat","",2.2,10
"154",154,2,5,1,2,"Nat","",2.2,9
"155",155,2,5,1,3,"Nat","",3.2,14
"156",156,2,5,1,4,"Nat","",2.8,11
"157",157,2,5,2,1,"Nat","",2.7,10
"158",158,2,5,2,2,"Nat","",2.7,11
"159",159,2,5,2,3,"Nat","",3.2,15
"160",160,2,5,2,4,"Nat","",3.7,20
"161",161,3,1,1,1,"Nat","",5.5,36
"162",162,3,1,1,2,"Nat","",7.2,32
"163",163,3,1,1,3,"Nat","",5,32
"164",164,3,1,1,4,"Nat","",5.6,27
"165",165,3,1,2,1,"Nat","",4.7,29
"166",166,3,1,2,2,"Nat","",4.3,22
"167",167,3,1,2,3,"Nat","",4.1,22
"168",168,3,1,2,4,"Nat","",5.2,34
"169",169,3,2,1,1,"Nat","",5.2,39
"170",170,3,2,1,2,"Nat","",5,39
"171",171,3,2,1,3,"Nat","",5.3,45
"172",172,3,2,1,4,"Nat","",5.2,38
"173",173,3,2,2,1,"Nat","",4.9,34
"174",174,3,2,2,2,"Nat","",5,35
"175",175,3,2,2,3,"Nat","",5.2,29
"176",176,3,2,2,4,"Nat","",4,23
"177",177,3,3,1,1,"Nat","",3.4,20
"179",179,3,3,1,3,"Nat","",3,12
"180",180,3,3,1,4,"Nat","",2.9,12
"182",182,3,3,2,2,"Nat","",2.9,17
"183",183,3,3,2,3,"Nat","",3.5,18
"184",184,3,3,2,4,"Nat","",2.9,17
"185",185,3,4,1,1,"Nat","",3.2,15
"186",186,3,4,1,2,"Nat","",3.4,18
"187",187,3,4,1,3,"Nat","",4,21
"188",188,3,4,1,4,"Nat","",4,31
"192",192,3,4,2,4,"Nat","",3.2,15
"193",193,3,5,1,1,"Intro","",4.3,29
"194",194,3,5,1,2,"Intro","",3.5,25
