"","treeNumber","blocks","geo_char","geo_num","pair","rep","origin","stand thinned","storm damage","height","diameter","tree_volume","wind_damage_severity","root_damage_severity"
"1",1,1,"M",1,1,1,"Nat","","",7,74,0.024,1,1
"2",2,1,"M",1,1,2,"Nat","X","",NA,NA,NA,NA,NA
"3",3,1,"M",1,1,3,"Nat","X","",NA,NA,NA,NA,NA
"4",4,1,"M",1,1,4,"Nat","","",9.5,85,0.042,1,1
"5",5,1,"M",1,2,1,"Nat","","",8.8,64,0.022,1,1
"6",6,1,"M",1,2,2,"Nat","X","",NA,NA,NA,NA,NA
"7",7,1,"M",1,2,3,"Nat","X","",NA,NA,NA,NA,NA
"8",8,1,"M",1,2,4,"Nat","","Moderately bent",10.7,73,0.035,3,1
"9",9,1,"K",2,1,1,"Intro","X","",NA,NA,NA,NA,NA
"10",10,1,"K",2,1,2,"Intro","","",8.8,55,0.016,1,1
"11",11,1,"K",2,1,3,"Intro","X","",NA,NA,NA,NA,NA
"12",12,1,"K",2,1,4,"Intro","","",7,65,0.018,1,1
"13",13,1,"K",2,2,1,"Intro","X","",NA,NA,NA,NA,NA
"14",14,1,"K",2,2,2,"Intro","","",8.8,76,0.031,1,1
"15",15,1,"K",2,2,3,"Intro","X","",NA,NA,NA,NA,NA
"16",16,1,"K",2,2,4,"Intro","","",7.6,52,0.013,1,1
"17",17,1,"I",3,1,1,"Intro","","",8.8,80,0.035,1,NA
"18",18,1,"I",3,1,2,"Intro","","",NA,NA,NA,NA,NA
"19",19,1,"I",3,1,3,"Intro","","",7.3,70,0.022,1,1
"20",20,1,"I",3,1,4,"Intro","X","",NA,NA,NA,NA,NA
"21",21,1,"I",3,2,1,"Intro","","",7.6,77,0.028,1,1
"22",22,1,"I",3,2,2,"Intro","X","",NA,NA,NA,NA,NA
"23",23,1,"I",3,2,3,"Intro","","",6.7,54,0.012,1,1
"24",24,1,"I",3,2,4,"Intro","X","",NA,NA,NA,NA,NA
"25",25,1,"T",4,1,1,"Intro","X","",NA,NA,NA,NA,NA
"26",26,1,"T",4,1,2,"Intro","","",7.9,69,0.023,1,1
"27",27,1,"T",4,1,3,"Intro","X","",NA,NA,NA,NA,NA
"28",28,1,"T",4,1,4,"Intro","X","",NA,NA,NA,NA,NA
"29",29,1,"T",4,2,1,"Intro","","",7.9,67,0.022,1,1
"30",30,1,"T",4,2,2,"Intro","X","",NA,NA,NA,NA,NA
"31",31,1,"T",4,2,3,"Intro","","",NA,NA,NA,NA,NA
"32",32,1,"T",4,2,4,"Intro","","",7.9,70,0.023,1,1
"33",33,1,"G",5,1,1,"Nat","X","",NA,NA,NA,NA,NA
"34",34,1,"G",5,1,2,"Nat","X","",NA,NA,NA,NA,NA
"35",35,1,"G",5,1,3,"Nat","","",6.1,58,0.013,1,1
"36",36,1,"G",5,1,4,"Nat","X","",NA,NA,NA,NA,NA
"37",37,1,"G",5,2,1,"Nat","","",4.6,44,0.005,1,1
"38",38,1,"G",5,2,2,"Nat","X","",NA,NA,NA,NA,NA
