,treeNumber,blocks,geo_char,geo_num,pair,rep,origin,typhoon,stem_axis,stem_staightness,tree_volume,internodes_lower,internodes_middle,internodes_top,branch_length,branch_density,branch_max2,branch_thickness,branch_angle,branch_habit,branchlet_habit,branchlet_length,cones,flowers,root_damage,stem_damage,branch_damage
1,NA,NA,,NA,NA,NA,,,NA,NA,NA,Lower,Middle,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
2,1,1,M,1,1,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3,2,1,M,1,1,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
4,3,1,M,1,1,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
5,4,1,M,1,1,4,Nat,X,4,4,0.089,10,17.5,6,1,2,28,4,1,3,2,2,1,1,5,1,1
6,6,1,M,1,2,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7,7,1,M,1,2,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,8,1,M,1,2,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,9,1,K,2,1,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,10,1,K,2,1,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,11,1,K,2,1,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,12,1,K,2,1,4,Intro,X,6,4,0.041,5,7,8,2,2,22,3,2,2,1,2,1,2,5,1,1
13,18,1,I,3,1,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,19,1,I,3,1,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,20,1,I,3,1,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,21,1,I,3,2,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,22,1,I,3,2,2,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,23,1,I,3,2,3,Intro,X,3,3,0.032,9,2,3,1,1,25,3,1,2,2,1,2,2,5,1,1
19,24,1,I,3,2,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,25,1,T,4,1,1,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,26,1,T,4,1,2,Intro,X,6,4,0.053,5.5,19,3,1,1,21,3,2,2,1,2,1,2,5,1,1
22,27,1,T,4,1,3,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,28,1,T,4,1,4,Intro,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
24,29,1,T,4,2,1,Intro,,6,3,0.061,4,8,7,1,2,24,4,2,3,2,2,2,2,1,5,3
25,36,1,G,5,1,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
26,37,1,G,5,2,1,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
27,38,1,G,5,2,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
28,39,1,G,5,2,3,Nat,,6,4,0.024,5,7,6,1,1,18,4,2,3,2,1,1,1,1,1,1
29,40,1,G,5,2,4,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
30,41,1,P,6,1,1,Nat,X,3,2,0.08,4,7.5,7.5,1,2,39,1,2,4,1,2,1,1,5,1,1
31,42,1,P,6,1,2,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
32,43,1,P,6,1,3,Nat,,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
